Film ,Major Studio,Rotten Tomatoes,Audience Score,Genre,Number of Theatres,Domestic Gross,Foreign Gross,Worldwide Gross,Budget,Market Profitability,Opening Weekend,Imdb Rating,Release Date,Director,Poster
Whatever Works ,Independent,50,63,Comedy,9,5.3,29.79,35.09,15,233.9400%,0.26,7.2,"Jul 1, 2009",Woody Allen,http://ia.media-imdb.com/images/M/MV5BMTU2NTA4NzgyNl5BMl5BanBnXkFtZTcwNzEzMjQ1Mg@@._V1_SX300.jpg
I Love You Beth Cooper ,Fox,14,38,Comedy,1856,14.8,1.02,15.82,18,87.8900%,4.9,5.3,"Jul 10, 2009",Chris Columbus,http://ia.media-imdb.com/images/M/MV5BMTgyNTc2NDM3NF5BMl5BanBnXkFtZTcwNjU3Mzg0Mg@@._V1_SX300.jpg
Harry Potter and the Half-Blood Prince ,Warner Bros.,83,75,Adventure,4325,302,632,934,250,373.600%,77.8,7.5,"Jul 15, 2009",David Yates,http://ia.media-imdb.com/images/M/MV5BNzU3NDg4NTAyNV5BMl5BanBnXkFtZTcwOTg2ODg1Mg@@._V1_SX300.jpg
City Island,Independent,81,77,Comedy,2,6.67,1.2,7874,6,131.2300%,32,7.4,"Jul 23, 2009",Raymond De Felitta,http://ia.media-imdb.com/images/M/MV5BMTM1MTY2Mjk0Nl5BMl5BanBnXkFtZTcwMDYxODkxMw@@._V1_SX300.jpg
G-Force ,Disney,22,50,Action,3697,119.4,173.38,285.1,150,190.0700%,31.7,5.1,"Jul 24, 2009",Hoyt Yeatman,http://ia.media-imdb.com/images/M/MV5BMTM4NTY3MzY2MV5BMl5BanBnXkFtZTcwMDQ1NTM2Mg@@._V1_SX300.jpg
The Ugly Truth ,Independent,14,68,Comedy,2882,88.9,116.38,205.28,38,540.2200%,27.6,6.5,"Jul 24, 2009",Robert Luketic,http://ia.media-imdb.com/images/M/MV5BMTM2MTM2OTUwNl5BMl5BanBnXkFtZTcwNTgwNTE0Mg@@._V1_SX300.jpg
Orphan ,Warner Bros.,55,65,Horror,2750,41.59,35.1,76.69,30,255.6400%,12.8,7,"Jul 24, 2009",Jaume Collet-Serra,http://ia.media-imdb.com/images/M/MV5BMTU0NjQzNjg2Nl5BMl5BanBnXkFtZTcwNzc3NzA0Mg@@._V1_SX300.jpg
Funny People ,Universal,68,58,Comedy,3007,51.85,19.73,71.58,75,95.4400%,22.7,6.4,"Jul 31, 2009",Judd Apatow,http://ia.media-imdb.com/images/M/MV5BMTMxNDQ5MTA5MF5BMl5BanBnXkFtZTcwMzUyMDUwMg@@._V1_SX300.jpg
Aliens in the Attic ,Fox,30,46,Adventure,3106,25.2,32.68,57.88,45,128.6200%,8,5.4,"Jul 31, 2009",John Schultz,http://ia.media-imdb.com/images/M/MV5BMTk3NTMzNTIxNV5BMl5BanBnXkFtZTcwOTI4ODU1Mg@@._V1_SX300.jpg
G.I. Joe: The Rise of Cobra ,Paramount,33,62,Action,4007,150.2,152.26,302.1,175,172.6300%,54.7,5.8,"Aug 7, 2009",Stephen Sommers,http://ia.media-imdb.com/images/M/MV5BMTQzMTU1NzQwNl5BMl5BanBnXkFtZTcwNDg4NzMzMw@@._V1_SX300.jpg
Julie & Julia ,Sony,74,69,Biography,2354,94.12,32.45,126.57,40,316.4300%,20,7,"Aug 7, 2009",Nora Ephron,http://ia.media-imdb.com/images/M/MV5BMTczNjc3MTY2OF5BMl5BanBnXkFtZTcwNjU4MTkxMQ@@._V1_SX300.jpg
(500) Days of Summer ,Fox,87,81,Comedy,817,32.39,28.33,60.72,7.5,809.600%,3.8,7.8,"Aug 7, 2009",Marc Webb,http://ia.media-imdb.com/images/M/MV5BMTk5MjM4OTU1OV5BMl5BanBnXkFtZTcwODkzNDIzMw@@._V1_SX300.jpg
A Perfect Getaway ,Universal,61,50,Mystery,2159,15.5,7.33,22.83,14,163.0700%,5.9,6.5,"Aug 7, 2009",David Twohy,http://ia.media-imdb.com/images/M/MV5BMjA3NzcxNzAwOV5BMl5BanBnXkFtZTcwNTgyNDU2Mg@@._V1_SX300.jpg
District 9 ,Independent,91,81,Action,3049,115.6,95.17,210.77,30,702.5700%,37.4,8,"Aug 14, 2009",Neill Blomkamp,http://ia.media-imdb.com/images/M/MV5BMTM4OTI1OTM5NF5BMl5BanBnXkFtZTcwMzk5MTU1Mg@@._V1_SX300.jpg
The Time Traveler's Wife ,Paramount,38,65,Drama,2988,63.41,37.92,101.33,39,259.8200%,18.6,7.1,"Aug 14, 2009",Robert Schwentke,http://ia.media-imdb.com/images/M/MV5BMTU0MzkzNzg0Nl5BMl5BanBnXkFtZTcwNzUwNzQ2Mg@@._V1_SX300.jpg
Bandslam ,Summit,79,60,Comedy,2121,5.2,7.01,12.1,20,61.00%,2.2,6.4,"Aug 14, 2009",Todd Graff,http://ia.media-imdb.com/images/M/MV5BMTg0MDI4MTIzMV5BMl5BanBnXkFtZTcwMDU5MjI2Mg@@._V1_SX300.jpg
Inglourious Basterds ,Universal,88,87,Adventure,3135,120.5,200.91,321.41,70,459.1600%,38,8.3,"Aug 21, 2009",Quentin Tarantino: Eli Roth,http://ia.media-imdb.com/images/M/MV5BMjIzMDI4MTUzOV5BMl5BanBnXkFtZTcwNDY3NjA3Mg@@._V1_SX300.jpg
Post Grad ,Fox,7,31,Comedy,1959,6.38,0.03,6.38,15,42.5300%,2.6,5.3,"Aug 21, 2009",Vicky Jenson,http://ia.media-imdb.com/images/M/MV5BMTcxNzg0NDQ4NF5BMl5BanBnXkFtZTcwMzM2Njg0Mg@@._V1_SX300.jpg
The Final Destination ,Warner Bros.,29,52,Horror,3121,66.5,119.69,186.19,40,465.4700%,27.4,5.1,"Aug 28, 2009",David R. Ellis,http://ia.media-imdb.com/images/M/MV5BMTQyMzQ5NjI2MF5BMl5BanBnXkFtZTcwNDA5MjM2Mg@@._V1_SX300.jpg
Taking Woodstock ,Focus,48,48,Comedy,1393,7.46,2.52,9.98,29,34.400%,3.5,6.7,"Aug 28, 2009",Ang Lee,http://ia.media-imdb.com/images/M/MV5BMTQ0MjA0MDE5Nl5BMl5BanBnXkFtZTcwNTk2NzY0Mg@@._V1_SX300.jpg
All About Steve ,Fox,6,35,Comedy,2251,33.86,6.26,40.12,15,267.4700%,11.2,4.8,"Sep 4, 2009",Phil Traill,http://ia.media-imdb.com/images/M/MV5BMTA5MTQxOTE2OTReQTJeQWpwZ15BbWU3MDY5NzI4NzI@._V1_SX300.jpg
Gamer ,Lionsgate,29,43,Action,2502,20.53,20.29,40.82,12.5,326.5600%,9.15,5.8,"Sep 4, 2009",Mark Neveldine: Brian Taylor,http://ia.media-imdb.com/images/M/MV5BMTkzMDU0NTg3MF5BMl5BanBnXkFtZTcwNzU1MjU1Mg@@._V1_SX300.jpg
Extract ,Miramax,62,37,Comedy,1611,10.8,0.03,10.83,7.5,144.3300%,4.3,6.2,"Sep 4, 2009",Mike Judge,http://ia.media-imdb.com/images/M/MV5BMTgzNzU3OTQ4NV5BMl5BanBnXkFtZTcwOTY3MzA4Mg@@._V1_SX300.jpg
All About Steve ,Independent,6,35,Comedy,2251,33.86,6.26,40.12,15,267.4700%,11.2,4.8,"Sep 4, 2009",Phil Traill,http://ia.media-imdb.com/images/M/MV5BMTA5MTQxOTE2OTReQTJeQWpwZ15BbWU3MDY5NzI4NzI@._V1_SX300.jpg
9,Focus,57,58,Animation,1661,31.74,16.67,48.41,30,161.3700%,10.7,7.1,"Sep 9, 2009",Shane Acker,NoData
Sorority Row ,Summit,22,38,Horror,2665,11.97,15.24,27.21,12.5,217.6800%,5.1,5.1,"Sep 11, 2009",Stewart Hendler,http://ia.media-imdb.com/images/M/MV5BMjEyMTQ4ODc4M15BMl5BanBnXkFtZTcwMzI1NjE4Mg@@._V1_SX300.jpg
Whiteout ,Warner Bros.,7,28,Action,2745,10.28,7.57,12.2,35,34.8600%,4.9,5.5,"Sep 11, 2009",Dominic Sena,http://ia.media-imdb.com/images/M/MV5BNTEyMDgwNzU1NF5BMl5BanBnXkFtZTcwMDkxMzI4Mg@@._V1_SX300.jpg
Cloudy with a Chance of Meatballs ,Sony,86,70,Animation,3119,124.9,118.13,243.03,100,243.0300%,30.3,7,"Sep 18, 2009",Phil Lord: Christopher Miller,http://ia.media-imdb.com/images/M/MV5BMTg0MjAwNDI5MV5BMl5BanBnXkFtZTcwODkyMzg2Mg@@._V1_SX300.jpg
The Informant! ,Warner Bros.,78,42,Comedy,2505,33.31,8.45,41.76,22,189.8200%,10.5,6.5,"Sep 18, 2009",Steven Soderbergh,http://ia.media-imdb.com/images/M/MV5BMTc4MDIyMTM3NV5BMl5BanBnXkFtZTcwNDQ2Nzg2Mg@@._V1_SX300.jpg
Love Happens ,Universal,18,40,Drama,1898,22.96,13.12,36.08,18,200.4400%,8.05,5.6,"Sep 18, 2009",Brandon Camp,http://ia.media-imdb.com/images/M/MV5BMTU1ODc4NjkyOF5BMl5BanBnXkFtZTcwMTA1MjU2Mg@@._V1_SX300.jpg
Jennifer's Body ,Fox,42,37,Comedy,2702,16.2,15.35,31.55,16,197.1900%,6.9,5.1,"Sep 18, 2009",Karyn Kusama,http://ia.media-imdb.com/images/M/MV5BMTMxNzYwMjc1Ml5BMl5BanBnXkFtZTcwNDI3MDE3Mg@@._V1_SX300.jpg
Surrogates ,Buena Vista,39,42,Action,2951,38.57,83.86,122.43,80,153.0400%,14.9,6.3,"Sep 25, 2009",Jonathan Mostow,http://ia.media-imdb.com/images/M/MV5BMjEzMTU5OTY0Ml5BMl5BanBnXkFtZTcwMDA0NjA3Mg@@._V1_SX300.jpg
Fame,MGM,25,43,Comedy,3096,22.46,54.76,77.21,18,428.9500%,10,5,"Sep 25, 2009",Kevin Tancharoen,http://ia.media-imdb.com/images/M/MV5BMzk2NzA4NjQ4NV5BMl5BanBnXkFtZTgwMzE4OTI1MDE@._V1_SX300.jpg
Pandorum ,Independent,28,49,Action,2506,10.3,10.31,17,40,42.500%,4.4,6.8,"Sep 25, 2009",Christian Alvart,http://ia.media-imdb.com/images/M/MV5BNDQxNjc5NTMxNl5BMl5BanBnXkFtZTcwNjg2NDE4Mg@@._V1_SX300.jpg
Zombieland ,Sony,90,87,Action,3036,75.59,26.8,102.39,23.6,433.8600%,24.7,7.7,"Oct 2, 2009",Ruben Fleischer,http://ia.media-imdb.com/images/M/MV5BMTU5MDg0NTQ1N15BMl5BanBnXkFtZTcwMjA4Mjg3Mg@@._V1_SX300.jpg
The Invention of Lying ,Warner Bros.,56,47,Comedy,1707,18.45,13.95,32.4,18.5,175.1400%,7,6.4,"Oct 2, 2009",Ricky Gervais: Matthew Robinson,http://ia.media-imdb.com/images/M/MV5BMTU2OTQzOTc1Nl5BMl5BanBnXkFtZTcwNDM5MDE4Mg@@._V1_SX300.jpg
Whip It ,Independent,84,73,Drama,1721,13,3.59,16,15,106.6700%,4.7,6.9,"Oct 2, 2009",Drew Barrymore,http://ia.media-imdb.com/images/M/MV5BNDM1NzkzMjQ4NF5BMl5BanBnXkFtZTcwMDE3Nzk3Mg@@._V1_SX300.jpg
Couples Retreat ,Universal,12,47,Comedy,3000,109.2,62.63,171.83,60,286.3800%,34.3,5.5,"Oct 9, 2009",Peter Billingsley,http://ia.media-imdb.com/images/M/MV5BMTQxMjI1Nzc0M15BMl5BanBnXkFtZTcwMTc0Mzg2Mg@@._V1_SX300.jpg
Paranormal Activity ,Independent,82,56,Horror,760,107.92,85.44,193.36,15,"1,289,040.0%",19.6,6.3,"Oct 16, 2009",Oren Peli,http://ia.media-imdb.com/images/M/MV5BMjY1NjcxODQ4MV5BMl5BanBnXkFtZTcwMzUxNjM4Mg@@._V1_SX300.jpg
Where the Wild Things Are ,Warner Bros.,73,59,Adventure,3735,77.23,22.85,100.08,100,100.0800%,32.7,6.8,"Oct 16, 2009",Spike Jonze,http://ia.media-imdb.com/images/M/MV5BNzQ1NzAwODEwM15BMl5BanBnXkFtZTcwNTE4MjI4Mg@@._V1_SX300.jpg
Law Abiding Citizen ,Independent,25,77,Crime,2890,73.4,53.08,126.48,53,238.6400%,21,7.4,"Oct 16, 2009",F. Gary Gray,http://ia.media-imdb.com/images/M/MV5BMTMyODY1NTg1N15BMl5BanBnXkFtZTcwMTUyODI4Mg@@._V1_SX300.jpg
The Stepfather,Sony,12,48,Mystery,2734,29.1,2.13,31.2,20,156.00%,11.6,5.5,"Oct 16, 2009",Nelson McCormick,http://ia.media-imdb.com/images/M/MV5BMTQ3ODU5OTUwMl5BMl5BanBnXkFtZTcwOTczNDU2Mg@@._V1_SX300.jpg
Saw VI ,Independent,40,67,Horror,3036,27.69,40.5,68.19,11,619.9100%,14.1,6,"Oct 23, 2009",Kevin Greutert,http://ia.media-imdb.com/images/M/MV5BMTY1MzkzNTYyMl5BMl5BanBnXkFtZTcwOTg4MjE5Ng@@._V1_SX300.jpg
Astro Boy ,Summit,49,53,Animation,3014,19.55,20.34,39.89,65,61.3600%,6.7,6.4,"Oct 23, 2009",David Bowers,http://ia.media-imdb.com/images/M/MV5BMTI5NTEwNTcxMl5BMl5BanBnXkFtZTcwMDEyMTE4Mg@@._V1_SX300.jpg
Amelia ,Independent,21,35,Adventure,820,14.25,5.4,19.2,40,48.00%,3.9,5.8,"Oct 23, 2009",Mira Nair,http://ia.media-imdb.com/images/M/MV5BMTI5NTI3MjA4M15BMl5BanBnXkFtZTcwMTM3Mzc3Mg@@._V1_SX300.jpg
Cirque du Freak: The Vampire's Assistant ,Universal,38,50,Action,2754,13.87,25.36,39.23,40,98.0800%,6.3,6,"Oct 23, 2009",Paul Weitz,http://ia.media-imdb.com/images/M/MV5BMTI1NDA1MTMwNl5BMl5BanBnXkFtZTcwNTg0MDE4Mg@@._V1_SX300.jpg
Monsters Vs. Aliens ,Paramount,72,65,Animation,4104,198.4,183.2,381.5,175,218.00%,59.3,6.5,"Oct 28, 2009",Peter Ramsey,http://ia.media-imdb.com/images/M/MV5BOTQ2MDU5MDUwM15BMl5BanBnXkFtZTcwMjM3OTI5Mg@@._V1_SX300.jpg
A Christmas Carol,Disney,52,72,Animation,3683,137.9,187.43,325.33,200,162.6700%,30.1,6.8,"Nov 6, 2009",Robert Zemeckis,http://ia.media-imdb.com/images/M/MV5BMTM1MTI5ODU4MV5BMl5BanBnXkFtZTcwNTYyNTU4Mg@@._V1_SX300.jpg
The Men Who Stare at Goats ,Independent,52,43,Comedy,2443,32.4,36.54,68.94,25,275.7600%,12.7,6.3,"Nov 6, 2009",Grant Heslov,http://ia.media-imdb.com/images/M/MV5BMjIwOTQwNzg1MV5BMl5BanBnXkFtZTcwODc4MDU4Mg@@._V1_SX300.jpg
The Fourth Kind ,Universal,18,44,Mystery,2527,25.48,22.22,47.7,10,477.00%,12.2,5.9,"Nov 6, 2009",Olatunde Osunsanmi,http://ia.media-imdb.com/images/M/MV5BMTY2OTM0NDEyM15BMl5BanBnXkFtZTcwNTAzMDY4Mg@@._V1_SX300.jpg
The Box ,Warner Bros.,46,27,Drama,2635,15.1,18.28,33.38,30,111.2700%,7.6,5.6,"Nov 6, 2009",Richard Kelly,http://ia.media-imdb.com/images/M/MV5BMTI4MDA5NjIwM15BMl5BanBnXkFtZTcwNTA2MjY0Mg@@._V1_SX300.jpg
2012,Sony,39,63,Action,3404,166.12,603.57,769.69,200,384.8400%,65.3,5.8,"Nov 13, 2009",Roland Emmerich,http://ia.media-imdb.com/images/M/MV5BMTY0MjEyODQzMF5BMl5BanBnXkFtZTcwMTczMjQ4Mg@@._V1_SX300.jpg
Pirate Radio (The Boat that Rocked: UK),Focus,60,72,Comedy,882,8.01,28.33,36.34,50,72.6800%,2.9,7.4,"Nov 13, 2009",Richard Curtis,NoData
The Twilight Saga: New Moon ,Summit,27,78,Drama,4024,296.62,413.2,709.82,50,"1,419.6400%",142.8,4.6,"Nov 20, 2009",Chris Weitz,http://ia.media-imdb.com/images/M/MV5BMTI3MjE3NDIxNF5BMl5BanBnXkFtZTcwODM3NTY5Mg@@._V1_SX300.jpg
The Blind Side ,Warner Bros.,65,90,Biography,3110,255.96,53.24,309.2,29,"1,066.200%",34.1,7.7,"Nov 20, 2009",John Lee Hancock,http://ia.media-imdb.com/images/M/MV5BMjEzOTE3ODM3OF5BMl5BanBnXkFtZTcwMzYyODI4Mg@@._V1_SX300.jpg
Planet 51 ,Independent,22,45,Animation,3035,42.19,63.45,105.64,70,150.9100%,12.3,6.1,"Nov 20, 2009",Jorge Blanco: Javier Abad: Marcos Martínez,http://ia.media-imdb.com/images/M/MV5BMTUyOTAyNTA5Ml5BMl5BanBnXkFtZTcwODU2OTM0Mg@@._V1_SX300.jpg
A Serious Man ,Universal,89,64,Drama,6,9.23,22.2,31.43,7,448.9900%,0.25,7,"Nov 20, 2009",Ethan Coen: Joel Coen,http://ia.media-imdb.com/images/M/MV5BMjAwODUxMjA0M15BMl5BanBnXkFtZTcwNjIyMzY3Mg@@._V1_SX300.jpg
Old Dogs ,Buena Vista,5,49,Comedy,3425,49.49,47.26,96.75,35,276.4300%,16.9,5.3,"Nov 25, 2009",Walt Becker,http://ia.media-imdb.com/images/M/MV5BMjExMTYyMzk3MV5BMl5BanBnXkFtZTcwMzI2Njg0Mg@@._V1_SX300.jpg
Ninja Assassin ,Warner Bros.,25,57,Action,2503,38.12,23.47,61.59,50,123.1800%,13.3,6.4,"Nov 25, 2009",James McTeigue,http://ia.media-imdb.com/images/M/MV5BMTcxNDYzMjU1Ml5BMl5BanBnXkFtZTcwMTYzOTM3Mg@@._V1_SX300.jpg
Fantastic Mr. Fox ,Fox,93,80,Animation,2033,21,25.46,46.46,40,116.1500%,7,7.8,"Nov 25, 2009",Wes Anderson,http://ia.media-imdb.com/images/M/MV5BMTcwODE2NTI3Nl5BMl5BanBnXkFtZTcwMjUwOTY5Mg@@._V1_SX300.jpg
The Road ,The Weinstein Company,75,65,Adventure,111,8.12,19.51,27.63,25,110.5100%,1.5,7.3,"Dec 2, 2009",John Hillcoat,http://ia.media-imdb.com/images/M/MV5BMTAwNzk4NTU3NDReQTJeQWpwZ15BbWU3MDg3OTEyODI@._V1_SX300.jpg
Brothers ,Lionsgate,61,62,Drama,2088,28.5,14.77,43.27,26,166.4200%,9.5,7.1,"Dec 4, 2009",Jim Sheridan,http://ia.media-imdb.com/images/M/MV5BMTkyMTY5MTcxOV5BMl5BanBnXkFtZTcwMTI3MDE3Mg@@._V1_SX300.jpg
Armored ,Sony,40,34,Action,1915,15.99,6.95,16,20,80.0%,6.5,5.7,"Dec 4, 2009",Nimród Antal,http://ia.media-imdb.com/images/M/MV5BMTgyOTI4NzAyMF5BMl5BanBnXkFtZTcwOTk3Mjg3Mg@@._V1_SX300.jpg
Everybody's Fine ,Miramax,46,55,Drama,2133,9.2,7.2,16.4,21,78.100%,3.9,7.2,"Dec 4, 2009",Kirk Jones,http://ia.media-imdb.com/images/M/MV5BMTM1NzEwNzA5MV5BMl5BanBnXkFtZTcwNTE0NjAyMw@@._V1_SX300.jpg
The Princess and the Frog ,Disney,84,72,Animation,3434,104.4,162.64,267.04,105,254.3200%,24.2,7.2,"Dec 11, 2009",Ron Clements: John Musker,http://ia.media-imdb.com/images/M/MV5BMjEyOTQ5NzAzNl5BMl5BanBnXkFtZTcwMTcyNTU1Mg@@._V1_SX300.jpg
Invictus,Warner Bros.,75,74,Biography,2125,37.49,84.74,122.23,60,203.7200%,8.6,7.4,"Dec 11, 2009",Clint Eastwood,http://ia.media-imdb.com/images/M/MV5BMjAyMzExMDM1N15BMl5BanBnXkFtZTcwNTcyMTQ5Mg@@._V1_SX300.jpg
Avatar ,Fox,83,92,Action,3452,760.5,02:21.00,15:01.50,237,"1,173.6300%",77,7.9,"Dec 18, 2009",James Cameron,http://ia.media-imdb.com/images/M/MV5BMTYwOTEwNjAzMl5BMl5BanBnXkFtZTcwODc5MTUwMw@@._V1_SX300.jpg
Did You Hear About the Morgans? ,Sony,12,31,Comedy,2718,29.58,55.7,85.28,58,147.0300%,6.6,4.7,"Dec 18, 2009",Marc Lawrence,http://ia.media-imdb.com/images/M/MV5BMjUzMDY0NDYzN15BMl5BanBnXkFtZTcwNjgxMDI5Mg@@._V1_SX300.jpg
Alvin and the Chipmunks: The Squeakquel ,Independent,21,59,Animation,3700,219.5,223,440.7,75,587.600%,48.8,4.4,"Dec 23, 2009",Betty Thomas,http://ia.media-imdb.com/images/M/MV5BMjI0NTc3MjU5M15BMl5BanBnXkFtZTcwODM4Nzg2Mg@@._V1_SX300.jpg
Up in the Air ,Paramount,90,76,Drama,1895,83.82,116.38,200.2,25,800.8100%,11.2,7.5,"Dec 23, 2009",Jason Reitman,http://ia.media-imdb.com/images/M/MV5BMTI3MzYxMTA4NF5BMl5BanBnXkFtZTcwMDE4ODg3Mg@@._V1_SX300.jpg
Sherlock Holmes ,Warner Bros.,70,81,Action,3626,209.02,315,524.02,90,582.2400%,62.3,7.6,"Dec 25, 2009",Guy Ritchie,http://ia.media-imdb.com/images/M/MV5BMTg0NjEwNjUxM15BMl5BanBnXkFtZTcwMzk0MjQ5Mg@@._V1_SX300.jpg
It's Complicated ,Universal,56,63,Comedy,2887,112.73,106.37,219.1,85,257.7600%,22.1,6.6,"Dec 25, 2009",Nancy Meyers,http://ia.media-imdb.com/images/M/MV5BMjQ0NjM2NTI4N15BMl5BanBnXkFtZTcwNjQ2MDc5Mg@@._V1_SX300.jpg
Nine ,Weinstein Co.,37,40,Drama,1412,19.67,34.32,53.99,80,67.4900%,5.45,5.9,"Dec 25, 2009",Rob Marshall,http://ia.media-imdb.com/images/M/MV5BMTY5ODA2MzQxMl5BMl5BanBnXkFtZTcwMTI4NTEwMw@@._V1_SX300.jpg
Daybreakers,Lionsgate,67,50,Action,2523,30.1,21.31,51.41,20,257.0500%,15.1,6.5,"Jan 8, 2010",Michael Spierig: Peter Spierig,http://ia.media-imdb.com/images/M/MV5BNzg3NDYyMDU4Nl5BMl5BanBnXkFtZTcwODA5NzA5Mg@@._V1_SX300.jpg
Leap Year,Universal,21,49,Comedy,2511,25.92,6.69,32608,19,171.6200%,9.2,6.4,"Jan 8, 2010",Anand Tucker,http://ia.media-imdb.com/images/M/MV5BMTgzMTQ2MDQxMF5BMl5BanBnXkFtZTcwODEzOTg5Mg@@._V1_SX300.jpg
Youth in Revolt,The Weinstein Company,68,52,Comedy,1873,15.28,4.37,19649,18,109.1600%,6.9,6.5,"Jan 8, 2010",Miguel Arteta,http://ia.media-imdb.com/images/M/MV5BMjE3NTkxODUwOV5BMl5BanBnXkFtZTcwMjE4NjI5Mg@@._V1_SX300.jpg
The Lovely Bones ,Paramount,32,57,Drama,2563,44,49.51,93.51,65,143.8600%,17,6.7,"Jan 15, 2010",Peter Jackson,http://ia.media-imdb.com/images/M/MV5BMjAwNDA1MTM2MF5BMl5BanBnXkFtZTcwMzg3NDcwMw@@._V1_SX300.jpg
The Book of Eli        ,Independent,48,68,Action,3111,94.84,62.27,157107,80,196.3800%,32.7,6.9,"Jan 15, 2010",Albert Hughes: Allen Hughes,http://ia.media-imdb.com/images/M/MV5BMTgwNTY1MjIzMF5BMl5BanBnXkFtZTcwMjE3NTUwMw@@._V1_SX300.jpg
The Spy Next Door,Relativity Media,13,46,Action,2924,24.31,20.93,45239,,,9.7,5.4,"Jan 15, 2010",Brian Levant,http://ia.media-imdb.com/images/M/MV5BMTI5MjEzMjM4N15BMl5BanBnXkFtZTcwODc0ODEwMw@@._V1_SX300.jpg
Extraordinary Measures,CBS,27,55,Drama,2549,12.07,3.07,15.14,31,48.8400%,6,6.5,"Jan 22, 2010",Tom Vaughan,http://ia.media-imdb.com/images/M/MV5BMTQ2Mjg5MDEyNV5BMl5BanBnXkFtZTcwMjkxMDAxMw@@._V1_SX300.jpg
Legion,Independent,19,36,Action,2476,40.17,27.75,67.92,26,261.2300%,17.5,5.2,"Jan 22, 2010",Scott Stewart,http://ia.media-imdb.com/images/M/MV5BMTMzNDg4NjYxOV5BMl5BanBnXkFtZTcwODQyNDg3Mg@@._V1_SX300.jpg
Tooth Fairy,Fox,16,46,Comedy,3344,60.02,52.44,112.46,48,234.2900%,14,5,"Jan 22, 2010",Michael Lembeck,http://ia.media-imdb.com/images/M/MV5BMTQ4NjQzMjQxNF5BMl5BanBnXkFtZTcwNTEzMDY4Mg@@._V1_SX300.jpg
Edge of Darkness,Warner Bros.,55,56,Crime,3066,43.31,37.81,81.12,80,101.400%,17.2,6.6,"Jan 29, 2010",Martin Campbell,http://ia.media-imdb.com/images/M/MV5BMTczMDk5MTg5Ml5BMl5BanBnXkFtZTcwOTYyMjE5Mg@@._V1_SX300.jpg
When in Rome,Disney,15,44,Comedy,2456,32.68,10.36,43.04,,,12.3,5.5,"Jan 29, 2010",Mark Steven Johnson,http://ia.media-imdb.com/images/M/MV5BMTM0OTQ3MjgzN15BMl5BanBnXkFtZTcwMjMyNzg3Mg@@._V1_SX300.jpg
An Education,Sony Classics,94,78,Drama,761,12.57,13.52,26.09,7.5,347.8700%,0.76,7.3,"Feb 5, 2010",Lone Scherfig,http://ia.media-imdb.com/images/M/MV5BMTg4NjgzOTc0MF5BMl5BanBnXkFtZTcwOTc2OTE3Mg@@._V1_SX300.jpg
Dear John,Sony,29,66,Drama,2969,80.01,34.96,114.97,25,459.8800%,30.4,6.3,"Feb 5, 2010",Lasse Hallström,http://ia.media-imdb.com/images/M/MV5BMTk1NDEzMTU5NV5BMl5BanBnXkFtZTcwNTI3MTk5Mg@@._V1_SX300.jpg
From Paris with Love,Independent,38,57,Action,2722,24.08,28.75,52829,52,101.5900%,8.2,6.5,"Feb 5, 2010",Pierre Morel,http://ia.media-imdb.com/images/M/MV5BNDUyMzExOTAyM15BMl5BanBnXkFtZTcwMTU0NjAyMw@@._V1_SX300.jpg
Percy Jackson & the Olympians: The Lightning Thief,Fox,50,57,Action,3356,88.77,137.73,226.5,95,238.4200%,31.2,5.9,"Feb 12, 2010",Chris Columbus,http://ia.media-imdb.com/images/M/MV5BMTQ0MzY5OTQ2N15BMl5BanBnXkFtZTcwNzI1MTU5Mg@@._V1_SX300.jpg
The Wolfman,Universal,33,38,Drama,3222,61.98,77.81,139.79,150,93.1900%,31.5,5.8,"Feb 12, 2010",Joe Johnston,http://ia.media-imdb.com/images/M/MV5BOTUyODEyMDIyM15BMl5BanBnXkFtZTcwNTYxMzg5Mg@@._V1_SX300.jpg
Valentine's Day,Warner Bros.,17,54,Comedy,3655,110.49,106,216485,52,416.3200%,56.2,5.8,"Feb 12, 2010",Garry Marshall,http://ia.media-imdb.com/images/M/MV5BMTk3MTIwNDIxNF5BMl5BanBnXkFtZTcwMDMyMzcwMw@@._V1_SX300.jpg
Shutter Island,Paramount,68,73,Drama,2991,128.01,166.79,294802,80,368.500%,41,8.1,"Feb 19, 2010",Martin Scorsese,http://ia.media-imdb.com/images/M/MV5BMTMxMTIyNzMxMV5BMl5BanBnXkFtZTcwOTc4OTI3Mg@@._V1_SX300.jpg
Michael Jackson's This Is It ,Sony,81,82,Documentary,3481,72.1,189.09,261.19,60,435.3200%,23.3,7.7,"Feb 22, 2010",Kenny Ortega,N/A
Cop Out,Warner Bros.,19,45,Action,3150,44.88,10.71,55588,30,185.2900%,18.21,5.7,"Feb 26, 2010",Kevin Smith,http://ia.media-imdb.com/images/M/MV5BMTk0NzcxMjYwNF5BMl5BanBnXkFtZTcwMTI4MTIxMw@@._V1_SX300.jpg
The Crazies,Liberty Starz,72,54,Horror,2476,39.12,15.68,54803,20,274.0200%,16.07,6.6,"Feb 26, 2010",Breck Eisner,http://ia.media-imdb.com/images/M/MV5BMjAzMDU5OTg0NV5BMl5BanBnXkFtZTcwNDQ4MjcwMw@@._V1_SX300.jpg
